record_id,title,year,doi,pmid,authors,decision,layer_tag,reason
BallottaD202641812841,Voluntary modulation of mental effort affects the attentional shift induced by angry faces in women.,2026,10.1016/j.neuroimage.2026.121848,41812841,"Ballotta, D and Maramotti, R and Borelli, E and Lui, F and Pagnoni, G",exclude,,insufficient effort+outcome overlap
LanderDM202641750183,Impact of Amplification and Noise on Subjective Cognitive Effort and Fatigue in Older Adults with Hearing Loss.,2026,10.3390/brainsci16020182,41750183,"Lander, DM and Roup, CM",include,general,effort:cognitive effort; outcome:fatigue
daSilvaDF202541710774,Does mental fatigue influence the accuracy of paralympic boccia players?,2025,10.3389/fspor.2025.1724991,41710774,"da Silva, DF and Costa, ADS and Fortes, LS and Oliveira, SFM",exclude,,insufficient effort+outcome overlap
YazdanpanahA202641662518,"Social information creates self-fulfilling prophecies in judgments of pain, vicarious pain, and cognitive effort.",2026,10.1073/pnas.2513856123,41662518,"Yazdanpanah, A and Jung, H and Soltani, A and Wager, TD",exclude,,insufficient effort+outcome overlap
AliAdeliKoudehi2026e3a216,Integrating arousal and valence approaches to advance cognitive effort research.,2026,10.3758/s13415-026-01409-1,41618032,Ali Adeli-Koudehi and M. Teschl and Stéphane Luchini and Marie-Hélène Grosbras,exclude,,insufficient effort+outcome overlap
JniorJLFS202641609171,High Mental Fatigue Magnitude Generates Greater Impaired Resistance Exercise Performance Than Moderate Mental Fatigue Magnitude in Trained Adults.,2026,10.1002/ejsc.70128,41609171,"Júnior, JLFS and de Lima-Junior, D and Nakamura, FY and Ferreira, MEC and Fortes",exclude,,insufficient effort+outcome overlap
AvivEmanuel2026ebb778,Computational underpinnings of cognitive effortful performance in short timescales.,2026,10.3758/s13415-026-01407-3,41606313,Aviv Emanuel,exclude,,insufficient effort+outcome overlap
GoeppT202541388754,Effect of Cognitive-Motor Dual-Task Training on Sustained Attention Performance and Neuromuscular Fatigue During Incremental Cycling in Trained Athletes.,2025,10.1111/sms.70178,41388754,"Goepp, T and Hot, P and Hayes, M and Rupp, T",include,general,effort:sustained attention; outcome:fatigue
StewardGE202541282752,Fatigue Symptoms Influence Effort-Based Decision-Making in Major Depressive Disorder.,2025,10.1101/2025.10.30.25338913,41282752,"Steward, GE and Culbreth, AJ and Goes, FS and Chib, VS",exclude,,insufficient effort+outcome overlap
RubioMoralesA202541133563,"The Mental Fatigue Induced by Physical, Cognitive and Combined Effort in Amateur Soccer Players: A Comparative Study Using EEG.",2025,10.3390/jfmk10040373,41133563,"Rubio-Morales, A and Díaz-García, J and Berchicci, M and Morenas-Martín, J and D",exclude,,insufficient effort+outcome overlap
WeilerH202541050815,Investigating the isolated effects of a soccer-specific mental fatigue manipulation on different task types.,2025,10.3389/fpsyg.2025.1655221,41050815,"Weiler, H and Ennigkeit, F and Altmann, S and Steindorf, L and Spielmann, J and ",exclude,,insufficient effort+outcome overlap
HabayJ202640938104,Mental Fatigue Negatively Impacts Cognitive and Physical Performance Outcomes: A Large-Scale Randomized Crossover Trial.,2026,10.1249/MSS.0000000000003852,40938104,"Habay, J and Arenales Arauz, YL and Proost, M and Schampheleer, E and Lathouwers",exclude,,insufficient effort+outcome overlap
