study_id,authors,year,title,doi,pmid,journal,layer,study_design,population,sample_size,cognitive_task,task_duration,outcome_measures,discomfort_type,key_finding,theoretical_framework,limitations
LanderDM202641750183,"Lander, DM; Roup, CM",2026,Impact of Amplification and Noise on Subjective Cognitive Effort and Fatigue in Older Adults with Hearing Loss.,10.3390/brainsci16020182,41750183,Brain sciences,general,unclassified,unspecified,,,,,general fatigue,,unspecified,
GoeppT202541388754,"Goepp, T et al.",2025,Effect of Cognitive-Motor Dual-Task Training on Sustained Attention Performance and Neuromuscular Fatigue During Incremental Cycling in Trained Athletes.,10.1111/sms.70178,41388754,Scandinavian journal of medicine & science in sports,general,experimental,unspecified,,sustained attention,,,general fatigue,,unspecified,
GoeppT202540888365,"Goepp, T et al.",2025,A New Incremental Cycling Cognitive-Motor Dual-Task Test to Assess Simultaneous Sustained Attention and Neuromuscular Fatigue in Trained Athletes.,10.1111/sms.70122,40888365,Scandinavian journal of medicine & science in sports,general,experimental,unspecified,,sustained attention,,,general fatigue,,unspecified,
RenL202540563713,"Ren, L et al.",2025,A New Method for Inducing Mental Fatigue: A High Mental Workload Task Paradigm Based on Complex Cognitive Abilities and Time Pressure.,10.3390/brainsci15060541,40563713,Brain sciences,general,experimental,unspecified,,,,,general fatigue,,unspecified,
SilvaCMAFD202540082774,"Silva, CMAFD et al.",2025,Does Mental Fatigue Affect Physical Performance in Wheelchair Basketball Players? An Individualized Cognitive Load Approach.,10.1177/00315125251320422,40082774,Perceptual and motor skills,general,unclassified,unspecified,,,,,general fatigue; somatic,,unspecified,
PraterFaheyM202539413448,"Prater Fahey, M et al.",2025,Motivational context determines the impact of aversive outcomes on mental effort allocation.,10.1016/j.cognition.2024.105973,39413448,Cognition,general,unclassified,unspecified,,,,,motivational; aversive signal,,unspecified,
AlgermissenJ202438773022,"Algermissen, J; den Ouden, HEM",2024,Pupil dilation reflects effortful action invigoration in overcoming aversive Pavlovian biases.,10.3758/s13415-024-01191-y,38773022,"Cognitive, affective & behavioral neuroscience",general,unclassified,unspecified,,,,pupillometry,aversive signal,,unspecified,
LorceryA202438734281,"Lorcery, A et al.",2024,Engagement of mental effort in response to mental fatigue: A psychophysiological analysis.,10.1016/j.psychsport.2024.102660,38734281,Psychology of sport and exercise,general,unclassified,unspecified,,,,,general fatigue,,unspecified,
MahaliaPraterFahey2023883b4f,Mahalia Prater Fahey et al.,2023,Motivational context determines the impact of aversive outcomes on mental effort allocation,10.1101/2023.10.27.564461,37961466,bioRxiv,general,unclassified,unspecified,,,,,motivational; aversive signal,,unspecified,
FerreiraMEC202437678643,"Ferreira, MEC et al.",2024,Prolonged cognitive effort impairs inhibitory control and causes significant mental fatigue after an endurance session with an auditive distractor in professional soccer players.,10.1016/j.psychsport.2023.102533,37678643,Psychology of sport and exercise,general,unclassified,unspecified,,,,,general fatigue,,unspecified,
