record_id,doi,pmid,title,authors,year,journal,layer_tag
LanderDM202641750183,10.3390/brainsci16020182,41750183,Impact of Amplification and Noise on Subjective Cognitive Effort and Fatigue in Older Adults with Hearing Loss.,"Lander, DM and Roup, CM",2026,Brain sciences,general
GoeppT202541388754,10.1111/sms.70178,41388754,Effect of Cognitive-Motor Dual-Task Training on Sustained Attention Performance and Neuromuscular Fatigue During Incremental Cycling in Trained Athletes.,"Goepp, T and Hot, P and Hayes, M and Rupp, T",2025,Scandinavian journal of medicine & science in sports,general
GoeppT202540888365,10.1111/sms.70122,40888365,A New Incremental Cycling Cognitive-Motor Dual-Task Test to Assess Simultaneous Sustained Attention and Neuromuscular Fatigue in Trained Athletes.,"Goepp, T and Hayes, M and Hot, P and Rupp, T",2025,Scandinavian journal of medicine & science in sports,general
RenL202540563713,10.3390/brainsci15060541,40563713,A New Method for Inducing Mental Fatigue: A High Mental Workload Task Paradigm Based on Complex Cognitive Abilities and Time Pressure.,"Ren, L and Wu, L and Feng, T and Liu, X",2025,Brain sciences,general
SilvaCMAFD202540082774,10.1177/00315125251320422,40082774,Does Mental Fatigue Affect Physical Performance in Wheelchair Basketball Players? An Individualized Cognitive Load Approach.,"Silva, CMAFD and Penna, EM and Coelho, TDS and Silva Neto, CAFD and de Mello, MT and Crisp, AH and C",2025,Perceptual and motor skills,general
PraterFaheyM202539413448,10.1016/j.cognition.2024.105973,39413448,Motivational context determines the impact of aversive outcomes on mental effort allocation.,"Prater Fahey, M and Yee, DM and Leng, X and Tarlow, M and Shenhav, A",2025,Cognition,general
AlgermissenJ202438773022,10.3758/s13415-024-01191-y,38773022,Pupil dilation reflects effortful action invigoration in overcoming aversive Pavlovian biases.,"Algermissen, J and den Ouden, HEM",2024,"Cognitive, affective & behavioral neuroscience",general
LorceryA202438734281,10.1016/j.psychsport.2024.102660,38734281,Engagement of mental effort in response to mental fatigue: A psychophysiological analysis.,"Lorcery, A and André, N and Benraïss, A and Pingault, M and Mirabelli, F and Audiffren, M",2024,Psychology of sport and exercise,general
MahaliaPraterFahey2023883b4f,10.1101/2023.10.27.564461,37961466,Motivational context determines the impact of aversive outcomes on mental effort allocation,Mahalia Prater Fahey and Debbie M. Yee and X. Leng and Maisy Tarlow and A. Shenhav,2023,bioRxiv,general
FerreiraMEC202437678643,10.1016/j.psychsport.2023.102533,37678643,Prolonged cognitive effort impairs inhibitory control and causes significant mental fatigue after an endurance session with an auditive distractor in professional soccer players.,"Ferreira, MEC and Lima-Junior, D and Faro, H and Roelands, B and Fortes, LS",2024,Psychology of sport and exercise,general
LambregtsBIHM202337257522,10.1016/j.bbi.2023.05.013,37257522,Fatigue during acute systemic inflammation is associated with reduced mental effort expenditure while task accuracy is preserved.,"Lambregts, BIHM and Vassena, E and Jansen, A and Stremmelaar, DE and Pickkers, P and Kox, M and Aart",2023,"Brain, behavior, and immunity",general
SunL202236078749,10.3390/ijerph191711034,36078749,An Investigation of the Effects of Brain Fatigue on the Sustained Attention of Intelligent Coal Mine VDT Operators.,"Sun, L and Guo, Z and Yuan, X and Wang, X and Su, C and Jiang, J and Li, X",2022,International journal of environmental research and public health,general
BogdanovM202235724812,10.1016/j.nlm.2022.107652,35724812,Dopaminergic medication increases motivation to exert cognitive control by reducing subjective effort costs in Parkinson's patients.,"Bogdanov, M and LoParco, S and Otto, AR and Sharp, M",2022,Neurobiology of learning and memory,general
BruijelJ202335107392,10.1080/09638288.2022.2030416,35107392,Mental effort and recovery from task-induced fatigue in people with traumatic brain injury.,"Bruijel, J and Vermeeren, A and Stapert, SZ and van Heugten, CM",2023,Disability and rehabilitation,general
SoutschekA202032710816,10.1002/hbm.25146,32710816,Causal role of lateral prefrontal cortex in mental effort and fatigue.,"Soutschek, A and Tobler, PN",2020,Human brain mapping,general
AbenB202032273486,10.1523/JNEUROSCI.2948-19.2020,32273486,Cognitive Effort Modulates Connectivity between Dorsal Anterior Cingulate Cortex and Task-Relevant Cortical Areas.,"Aben, B and Buc Calderon, C and Van den Bussche, E and Verguts, T",2020,The Journal of neuroscience : the official journal of the Society for Neuroscience,L3
BambrahV201931522029,10.1016/j.concog.2019.102812,31522029,"Anticipated, experienced, and remembered subjective effort and discomfort on sustained attention versus working memory tasks.","Bambrah, V and Hsu, CF and Toplak, ME and Eastwood, JD",2019,Consciousness and cognition,general
OttoT201829912895,10.1371/journal.pone.0198204,29912895,Feeling the force: Changes in a left-lateralized network of brain areas under simulated workday conditions are reflected in subjective mental effort investment.,"Otto, T and Zijlstra, FRH and Goebel, R",2018,PloS one,general
OttoAR201929750987,10.1016/j.neuropsychologia.2018.05.006,29750987,The opportunity cost of time modulates cognitive effort.,"Otto, AR and Daw, ND",2019,Neuropsychologia,L1
BerardJA201829670491,10.7224/1537-2073.2016-106,29670491,A Longitudinal Evaluation of Cognitive Fatigue on a Task of Sustained Attention in Early Relapsing-Remitting Multiple Sclerosis.,"Berard, JA and Smith, AM and Walker, LAS",2018,International journal of MS care,general
HsuCF201829432429,10.1371/journal.pone.0191479,29432429,Mental effort and discomfort: Testing the peak-end effect during a cognitively demanding task.,"Hsu, CF and Propp, L and Panetta, L and Martin, S and Dentakos, S and Toplak, ME and Eastwood, JD",2018,PloS one,general
HsuCF201728377736,10.3389/fpsyg.2017.00407,28377736,Differences in Perceived Mental Effort Required and Discomfort during a Working Memory Task between Individuals At-risk And Not At-risk for ADHD.,"Hsu, CF and Eastwood, JD and Toplak, ME",2017,Frontiers in psychology,general
