key,type,title,year,doi,has_doi,status,candidate_doi,candidate_confidence,note
kurzban2013,article,An opportunity cost model of subjective effort and task performance,2013,10.1017/S0140525X12003196,True,verified,,,DOI resolves
inzlicht2018,article,The Effort Paradox: Effort Is Both Costly and Valued,2018,10.1016/j.tics.2018.01.007,True,verified,,,DOI resolves
shenhav2017,article,Toward a Rational and Mechanistic Account of Mental Effort,2017,10.1146/annurev-neuro-072116-031526,True,verified,,,DOI resolves
shenhav2013,article,The Expected Value of Control: An Integrative Theory of Anterior Cingulate Cortex Function,2013,10.1016/j.neuron.2013.07.007,True,verified,,,DOI resolves
wiehler2022,article,A neuro-metabolic account of why daylong cognitive work alters the control of economic decisions,2022,10.1016/j.cub.2022.07.010,True,verified,,,DOI resolves
christie2015,article,Cognitive cost as dynamic allocation of energetic resources,2015,10.3389/fnins.2015.00289,True,verified,,,DOI resolves
otto2018,article,Feeling the force: Changes in a left-lateralized network under simulated workday conditions are reflected in subjective fatigue,2018,10.1371/journal.pone.0198204,True,verified,,,DOI resolves
yee2022,article,Aversive motivation and cognitive control,2022,10.1016/j.neubiorev.2021.12.016,True,verified,,,DOI resolves
friston2010,article,The free-energy principle: a unified brain theory?,2010,10.1038/nrn2787,True,verified,,,DOI resolves
seth2016,article,Active interoceptive inference and the emotional brain,2016,10.1098/rstb.2016.0007,True,verified,,,DOI resolves
cathcart2009,article,Noxious inhibition of temporal summation is impaired in chronic tension-type headache,2009,10.1111/j.1526-4610.2009.01545.x,True,verified,,,DOI resolves
cathcart2010,article,Stress and tension-type headache mechanisms,2010,10.1177/0333102410362927,True,verified,,,DOI resolves
arksey2005,article,Scoping studies: towards a methodological framework,2005,10.1080/1364557032000119616,True,verified,,,DOI resolves
tricco2018,article,PRISMA} Extension for Scoping Reviews ({PRISMA-ScR}): Checklist and Explanation,2018,10.7326/M18-0850,True,verified,,,DOI resolves
levac2010,article,Scoping studies: advancing the methodology,2010,10.1186/1748-5908-5-69,True,verified,,,DOI resolves
