record_id,entry_type,authors,year,title,journal,abstract,doi,pmid,keywords,decision_r1,decision_r2,final_decision,exclusion_reason,notes
Silvestrini2019effort,article,"Silvestrini, N and Musslick, S and Berry, AS and Shenhav, A",2019,"Anticipated, experienced, and remembered subjective effort and discomfort on sustained attention versus working memory tasks",PLOS ONE,,10.1371/journal.pone.0222081,31522029,,,,,,
Pattyn2018peakend,article,"Pattyn, N and Silvestrini, N",2018,Mental effort and discomfort: Testing the peak-end effect during a cognitively demanding task,Motivation and Emotion,,10.1007/s11031-018-9686-z,29432429,,,,,,
Gergelyfi2015mental,article,"Gergelyfi, M and Jacob, B and Olivier, E and Zenon, A",2015,Dissociation between mental fatigue and motivational state during prolonged mental activity,Frontiers in Behavioral Neuroscience,,10.3389/fnbeh.2015.00176,25784862,,,,,,
Muller2024engagement,article,"Muller, T and Apps, MAJ",2024,Engagement of mental effort in response to mental fatigue: A psychophysiological analysis,Psychophysiology,,10.1111/psyp.14577,38734281,,,,,,
Wascher2022mentalfatigue,article,"Wascher, E and Arnau, S and Gutberlet, I and Grosjean, M",2022,The effects of mental fatigue on effort allocation: Modeling and estimation,Psychophysiology,,10.1111/psyp.14088,35511531,,,,,,
Hockey2023fatigue,article,"Hockey, GRJ",2023,Fatigue and Human Performance: An Updated Framework,Frontiers in Neuroscience,,10.3389/fnins.2022.1073114,,,,,,,
Blain2025mentalfatigue,article,"Blain, B and others",2025,Mental Fatigue Negatively Impacts Cognitive and Physical Performance Outcomes: A Large-Scale Randomized Crossover Trial,Medicine and Science in Sports and Exercise,,,40938104,,,,,,
Muller2023computational,article,"Muller, T and Klein-Flugge, MC and Manohar, SG and Husain, M and Apps, MAJ",2023,Computational mechanisms underlying the dynamics of physical and cognitive fatigue,Nature Communications,,10.1038/s41467-023-40522-0,37647742,,,,,,
Borragán2017cognitive,article,"Borragán, G and Slama, H and Bartolomei, M and Peigneux, P",2017,Cognitive fatigue: A Time-based Resource-sharing account,Cortex,,10.1016/j.cortex.2017.01.023,28237888,,,,,,
Wylie2024mentaleffort,article,"Wylie, GR and Dobryakova, E",2024,What Is Mental Effort: A Clinical Perspective,Frontiers in Psychology,,10.3389/fpsyg.2024.1318498,38309319,,,,,,
Wiehler2022neurometabolic,article,"Wiehler, A and Branzoli, F and Adanyeguh, I and Mochel, F and Pessiglione, M",2022,A neuro-metabolic account of why daylong cognitive work alters the control of economic decisions,Current Biology,,10.1016/j.cub.2022.07.010,35961314,,,,,,
Blain2023considerations,article,"Blain, B and Pessiglione, M",2023,Considerations on gradual glutamate accumulation related to cognitive task performance,Cerebral Cortex,,10.1093/cercor/bhac467,36369737,,,,,,
Johansson2004glutamate,article,"Johansson, B and Ronnback, L",2004,On the potential role of glutamate transport in mental fatigue,Journal of Neuroinflammation,,10.1186/1742-2094-1-22,15527505,,,,,,
Apsvalka2015fmrs,article,"Apsvalka, D and Gadie, A and Clemence, M and Mullins, PG",2015,Increase in glutamate/glutamine concentration in the medial prefrontal cortex during mental imagery: A combined functional MRS and fMRI study,Human Brain Mapping,,10.1002/hbm.22897,26059006,,,,,,
Gavelin2020exhaustion,article,"Gavelin, HM and Neely, AS and Dunås, T and Eskilsson, T and Järvholm, LS and Boraxbekk, CJ",2020,MRS Shows Regionally Increased Glutamate Levels among Patients with Exhaustion Syndrome Due to Occupational Stress,Cerebral Cortex,,10.1093/cercor/bhz340,32195540,,,,,,
Christie2015cognitive,article,"Christie, ST and Schrater, P",2015,Cognitive cost as dynamic allocation of energetic resources,Frontiers in Neuroscience,,10.3389/fnins.2015.00289,,,,,,,
Otto2018plosone,article,"Otto, AR and Zijlstra, FRH and Goebel, R",2018,"Neural integration of risk, effort, and time during decision making: A functional MRI study",PLoS ONE,,10.1371/journal.pone.0198204,29782522,,,,,,
Seth2016active,article,"Seth, AK and Friston, KJ",2016,Active interoceptive inference and the emotional brain,Philosophical Transactions of the Royal Society B,,10.1098/rstb.2016.0007,28080966,,,,,,
Barrett2016allostasis,article,"Barrett, LF and Quigley, KS and Hamilton, P",2016,An active inference theory of allostasis and interoception in depression,Philosophical Transactions of the Royal Society B,,10.1098/rstb.2016.0011,28080969,,,,,,
Seth2013interoceptive,article,"Seth, AK",2013,"Interoceptive inference, emotion, and the embodied self",Trends in Cognitive Sciences,,10.1016/j.tics.2013.09.007,24126130,,,,,,
Ainley2015interoceptive,article,"Barrett, LF and Simmons, WK",2015,Interoceptive predictions in the brain,Nature Reviews Neuroscience,,10.1038/nrn3950,26016744,,,,,,
Tschantz2022simulating,article,"Tschantz, A and Barca, L and Buckley, CL and Seth, AK",2022,"Simulating homeostatic, allostatic and goal-directed forms of interoceptive control using active inference",Biological Psychology,,10.1016/j.biopsycho.2022.108266,35051559,,,,,,
Petzschner2021computational,article,"Petzschner, FH and Garfinkel, SN and Paulus, MP and Koch, C and Khalsa, SS",2021,Computational Models of Interoception and Body Regulation,Trends in Neurosciences,,10.1016/j.tins.2020.09.012,33378658,,,,,,
Wolff2019selfcontrol,article,"Wolff, M and Krönke, KM and Venz, J and Kräplin, A and Bühringer, G and Smolka, MN and Goschke, T",2019,Self-control is linked to interoceptive inference: Craving regulation and the prediction of aversive interoceptive states,Cognition,,10.1016/j.cognition.2019.06.013,31330380,,,,,,
Stephan2016allostatic,article,"Stephan, KE and Manjaly, ZM and Mathys, CD and Weber, LAE and Paliwal, S and Gard, T and Tittgemeyer, M and Fleming, SM and Haker, H and Seth, AK and Petzschner, FH",2016,Allostatic Self-efficacy: A Metacognitive Theory of Dyshomeostasis-Induced Fatigue and Depression,Frontiers in Human Neuroscience,,10.3389/fnhum.2016.00550,,,,,,,
Kurzban2013opportunity,article,"Kurzban, R and Duckworth, A and Kable, JW and Myers, J",2013,An opportunity cost model of subjective effort and task performance,Behavioral and Brain Sciences,,10.1017/S0140525X12003196,24304775,,,,,,
Inzlicht2018effortparadox,article,"Inzlicht, M and Shenhav, A and Olivola, CY",2018,The effort paradox: Effort is both costly and valued,Trends in Cognitive Sciences,,10.1016/j.tics.2018.01.007,,,,,,,
Shenhav2013evc,article,"Shenhav, A and Botvinick, MM and Cohen, JD",2013,The expected value of control: an integrative theory of anterior cingulate cortex function,Neuron,,10.1016/j.neuron.2013.07.007,23889930,,,,,,
Shenhav2017evcreview,article,"Shenhav, A and Musslick, S and Lieder, F and Kool, W and Griffiths, TL and Cohen, JD and Botvinick, MM",2017,Toward a Rational and Mechanistic Account of Mental Effort,Annual Review of Neuroscience,,10.1146/annurev-neuro-072116-031526,,,,,,,
Shenhav2016daccvalue,article,"Shenhav, A and Cohen, JD and Botvinick, MM",2016,Dorsal anterior cingulate cortex and the value of control,Nature Neuroscience,,10.1038/nn.4384,27669989,,,,,,
Yee2022aversive,article,"Yee, DM and Leng, X and Shenhav, A and Braver, TS",2022,Aversive motivation and cognitive control,Neuroscience and Biobehavioral Reviews,,10.1016/j.neubiorev.2021.12.016,,,,,,,
Massar2018effortdiscounting,article,"Massar, SAA and Csathó, Á and Van der Linden, D",2018,Quantifying the Motivational Effects of Cognitive Fatigue Through Effort-Based Decision Making,Frontiers in Psychology,,10.3389/fpsyg.2018.00843,29899717,,,,,,
Hogan2024neurobiology,article,"Hogan, PS and Chen, SX and Wilkins, KB and Bhatt, T and Langenecker, SA and Hsu, M",2024,The Neurobiology of Cognitive Fatigue and Its Influence on Effort-Based Choice,Neuropsychology Review,,10.1007/s11065-024-09638-6,39071329,,,,,,
Westbrook2013intrinsic,article,"Westbrook, A and Braver, TS",2013,The intrinsic cost of cognitive control,Behavioral and Brain Sciences,,10.1017/S0140525X1300109X,24304795,,,,,,
Westbrook2015neuroeconomic,article,"Westbrook, A and Braver, TS",2015,Cognitive effort: A neuroeconomic approach,"Cognitive, Affective, and Behavioral Neuroscience",,10.3758/s13415-015-0334-y,,,,,,,
Kool2010decision,article,"Kool, W and McGuire, JT and Rosen, ZB and Botvinick, MM",2010,Decision making and the avoidance of cognitive demand,Journal of Experimental Psychology: General,,10.1037/a0020198,,,,,,,
McLaughlin2023pupilometry,article,"McLaughlin, DJ and Zink, ME and Gaunt, LT and Spehar, B and Van Engen, KJ and Sommers, MS and Peelle, JE",2023,Give me a break! Unavoidable fatigue effects in cognitive pupillometry,Psychophysiology,,10.1111/psyp.14256,36734299,,,,,,
vanderWel2018pupildilation,article,"van der Wel, P and van Steenbergen, H",2018,Pupil dilation as an index of effort in cognitive control tasks: A review,Psychonomic Bulletin and Review,,10.3758/s13423-018-1432-y,29435963,,,,,,
Cathcart2009central,article,"Cathcart, S and Winefield, AH and Rolan, P and Lushington, K",2010,Central mechanisms of stress-induced headache,Cephalalgia,,10.1111/j.1468-2982.2009.01870.x,19614706,,,,,,
detommaso2019experimentaltth,article,"Exposto, FG and Bendixen, KH and Bhatt, DK and Ashina, M and Svensson, P",2019,Characterization and predictive mechanisms of experimentally induced tension-type headache,Cephalalgia,,10.1177/0333102419838238,30922083,,,,,,
Nash2004depression,article,"Nash, JM and Thebarge, RW",2006,Depression increases onset of tension-type headache following laboratory stress,Pain,,10.1016/j.pain.2004.07.011,15363865,,,,,,
