record_id,doi,pmid,title,is_oa,oa_status,best_oa_url,best_oa_pdf_url,host_type,license,updated
LanderDM202641750183,10.3390/brainsci16020182,41750183,Impact of Amplification and Noise on Subjective Cognitive Effort and Fatigue in Older Adults with Hearing Loss.,True,gold,https://www.mdpi.com/2076-3425/16/2/182/pdf?version=1769873128,https://www.mdpi.com/2076-3425/16/2/182/pdf?version=1769873128,publisher,cc-by,2026-03-13T16:44:43Z
GoeppT202541388754,10.1111/sms.70178,41388754,Effect of Cognitive-Motor Dual-Task Training on Sustained Attention Performance and Neuromuscular Fatigue During Incremental Cycling in Trained Athletes.,False,closed,,,,,2025-12-14T00:24:06Z
GoeppT202540888365,10.1111/sms.70122,40888365,A New Incremental Cycling Cognitive-Motor Dual-Task Test to Assess Simultaneous Sustained Attention and Neuromuscular Fatigue in Trained Athletes.,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/sms.70122,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/sms.70122,publisher,cc-by,2026-03-20T23:48:44Z
RenL202540563713,10.3390/brainsci15060541,40563713,A New Method for Inducing Mental Fatigue: A High Mental Workload Task Paradigm Based on Complex Cognitive Abilities and Time Pressure.,True,gold,https://www.mdpi.com/2076-3425/15/6/541/pdf?version=1747908815,https://www.mdpi.com/2076-3425/15/6/541/pdf?version=1747908815,publisher,cc-by,2026-03-20T23:48:44Z
SilvaCMAFD202540082774,10.1177/00315125251320422,40082774,Does Mental Fatigue Affect Physical Performance in Wheelchair Basketball Players? An Individualized Cognitive Load Approach.,False,closed,,,,,2025-08-04T14:10:34Z
PraterFaheyM202539413448,10.1016/j.cognition.2024.105973,39413448,Motivational context determines the impact of aversive outcomes on mental effort allocation.,True,green,https://escholarship.org/content/qt8263q64r/qt8263q64r.pdf,https://escholarship.org/content/qt8263q64r/qt8263q64r.pdf,repository,cc-by-nd,2026-02-09T15:04:13Z
AlgermissenJ202438773022,10.3758/s13415-024-01191-y,38773022,Pupil dilation reflects effortful action invigoration in overcoming aversive Pavlovian biases.,True,hybrid,https://link.springer.com/content/pdf/10.3758/s13415-024-01191-y.pdf,https://link.springer.com/content/pdf/10.3758/s13415-024-01191-y.pdf,publisher,cc-by,2026-03-11T15:58:29Z
LorceryA202438734281,10.1016/j.psychsport.2024.102660,38734281,Engagement of mental effort in response to mental fatigue: A psychophysiological analysis.,True,green,https://hal.science/hal-04581523/document,https://hal.science/hal-04581523/document,repository,None,2026-03-11T15:58:29Z
MahaliaPraterFahey2023883b4f,10.1101/2023.10.27.564461,37961466,Motivational context determines the impact of aversive outcomes on mental effort allocation,True,gold,https://www.biorxiv.org/content/biorxiv/early/2023/12/07/2023.10.27.564461.full.pdf,https://www.biorxiv.org/content/biorxiv/early/2023/12/07/2023.10.27.564461.full.pdf,None,cc-by-nc-nd,2026-02-10T21:43:31Z
FerreiraMEC202437678643,10.1016/j.psychsport.2023.102533,37678643,Prolonged cognitive effort impairs inhibitory control and causes significant mental fatigue after an endurance session with an auditive distractor in professional soccer players.,True,green,https://www.sciencedirect.com/science/article/pii/S1469029223001577?via=ihub,None,repository,cc-by-nc-nd,2026-02-09T15:04:13Z
LambregtsBIHM202337257522,10.1016/j.bbi.2023.05.013,37257522,Fatigue during acute systemic inflammation is associated with reduced mental effort expenditure while task accuracy is preserved.,True,bronze,https://www.sciencedirect.com/science/article/pii/S0889159123001319,https://www.sciencedirect.com/science/article/pii/S0889159123001319,publisher,None,2026-03-11T15:58:29Z
SunL202236078749,10.3390/ijerph191711034,36078749,An Investigation of the Effects of Brain Fatigue on the Sustained Attention of Intelligent Coal Mine VDT Operators.,True,gold,https://www.mdpi.com/1660-4601/19/17/11034/pdf?version=1662200151,https://www.mdpi.com/1660-4601/19/17/11034/pdf?version=1662200151,publisher,cc-by,2026-03-20T23:48:44Z
BogdanovM202235724812,10.1016/j.nlm.2022.107652,35724812,Dopaminergic medication increases motivation to exert cognitive control by reducing subjective effort costs in Parkinson's patients.,False,closed,,,,,2025-10-23T16:56:47Z
BruijelJ202335107392,10.1080/09638288.2022.2030416,35107392,Mental effort and recovery from task-induced fatigue in people with traumatic brain injury.,True,hybrid,https://doi.org/10.1080/09638288.2022.2030416,None,publisher,cc-by,2026-03-04T09:23:25Z
SoutschekA202032710816,10.1002/hbm.25146,32710816,Causal role of lateral prefrontal cortex in mental effort and fatigue.,True,gold,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hbm.25146,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hbm.25146,publisher,cc-by,2026-03-20T23:48:44Z
AbenB202032273486,10.1523/JNEUROSCI.2948-19.2020,32273486,Cognitive Effort Modulates Connectivity between Dorsal Anterior Cingulate Cortex and Task-Relevant Cortical Areas.,True,bronze,https://www.jneurosci.org/content/jneuro/40/19/3838.full.pdf,https://www.jneurosci.org/content/jneuro/40/19/3838.full.pdf,publisher,None,2026-02-10T21:43:31Z
